Batch, Equipment          , Spectrophotometer, Scale_L, Time_h, OD600 , WCW_mg3mL, pO2_pct , Feed_Rate, Feed_Unit
B01  , KLF2000            , Hitachi 1900U    ,     1.5,      0,   0.8 ,     13.1 , 100     ,         0, mL/L/h
B01  , KLF2000            , Hitachi 1900U    ,     1.5,      6,   3.2 ,     33.9 ,  85     ,         0, mL/L/h
B01  , KLF2000            , Hitachi 1900U    ,     1.5,     12,  10.8 ,     59.3 ,  65     ,         5, mL/L/h
B01  , KLF2000            , Hitachi 1900U    ,     1.5,     18,  21.1 ,     82.9 ,  68.1319,         5, mL/L/h
B01  , KLF2000            , Hitachi 1900U    ,     1.5,     24,  42.3 ,    133.2 ,  81.3187,         8, mL/L/h
B01  , KLF2000            , Hitachi 1900U    ,     1.5,     30,  65   ,    190.3 ,  63.1868,         8, mL/L/h
B01  , KLF2000            , Hitachi 1900U    ,     1.5,     36,  74   ,    265.8 ,  65     ,         8, mL/L/h
B01  , KLF2000            , Hitachi 1900U    ,     1.5,     42,  89   ,    310.4 ,  76.9231,        10, mL/L/h
B01  , KLF2000            , Hitachi 1900U    ,     1.5,     48, 123   ,    353.9 ,  62.6374,        10, mL/L/h
B01  , KLF2000            , Hitachi 1900U    ,     1.5,     54, 135   ,    404.7 ,  58.7912,        10, mL/L/h
B01  , KLF2000            , Hitachi 1900U    ,     1.5,     60, 151   ,    422.3 ,  65     ,        12, mL/L/h
B01  , KLF2000            , Hitachi 1900U    ,     1.5,     66, 185   ,    479   ,  65     ,        12, mL/L/h
B01  , KLF2000            , Hitachi 1900U    ,     1.5,     72, 207   ,    583   ,  65     ,        12, mL/L/h
B01  , KLF2000            , Hitachi 1900U    ,     1.5,     78, 199   ,    566.3 ,  89.5604,        15, mL/L/h
B01  , KLF2000            , Hitachi 1900U    ,     1.5,     82, 201   ,    585   ,  70.3297,        15, mL/L/h
B02  , KLF2000            , Hitachi 1900U    ,     1.5,      0,   1.02,     12.3 , 100     ,         0, mL/L/h
B02  , KLF2000            , Hitachi 1900U    ,     1.5,      6,   4.13,     41   ,  85     ,         0, mL/L/h
B02  , KLF2000            , Hitachi 1900U    ,     1.5,     12,  14   ,     57.7 ,  77.3   ,         5, mL/L/h
B02  , KLF2000            , Hitachi 1900U    ,     1.5,     18,  24   ,     91.5 ,  90.5   ,         5, mL/L/h
B02  , KLF2000            , Hitachi 1900U    ,     1.5,     24,  50   ,    137.8 ,  89.2   ,         8, mL/L/h
B02  , KLF2000            , Hitachi 1900U    ,     1.5,     30,  82   ,    228.4 ,  49.2   ,         8, mL/L/h
B02  , KLF2000            , Hitachi 1900U    ,     1.5,     36,  94   ,    228.4 ,  77.3   ,         8, mL/L/h
B02  , KLF2000            , Hitachi 1900U    ,     1.5,     42, 113   ,    270.4 ,  86.7   ,        10, mL/L/h
B02  , KLF2000            , Hitachi 1900U    ,     1.5,     48, 123   ,    303   ,  88.7   ,        10, mL/L/h
B02  , KLF2000            , Hitachi 1900U    ,     1.5,     54, 112   ,    309.3 ,  68.4   ,        10, mL/L/h
B02  , KLF2000            , Hitachi 1900U    ,     1.5,     60, 125   ,    307.7 ,  66.9   ,        12, mL/L/h
B02  , KLF2000            , Hitachi 1900U    ,     1.5,     66, 115   ,    307.5 ,  98.9   ,        12, mL/L/h
B02  , KLF2000            , Hitachi 1900U    ,     1.5,     72, 116   ,    309   ,  68.6   ,        12, mL/L/h
B02  , KLF2000            , Hitachi 1900U    ,     1.5,     78, 122   ,    351.3 ,  20     ,        15, mL/L/h
B02  , KLF2000            , Hitachi 1900U    ,     1.5,     84, 145   ,    407.7 ,  20     ,        15, mL/L/h
B02  , KLF2000            , Hitachi 1900U    ,     1.5,     90, 168   ,    471.5 ,  57.9   ,        15, mL/L/h
B02  , KLF2000            , Hitachi 1900U    ,     1.5,     96, 195   ,    571.6 ,  52.9   ,        15, mL/L/h
B03  , KLF2000            , Hitachi 1900U    ,     1.5,      0,   1.23,      7.2 ,  99.7   ,         0, mL/L/h
B03  , KLF2000            , Hitachi 1900U    ,     1.5,      6,   5.42,     23.6 ,  90.9   ,         0, mL/L/h
B03  , KLF2000            , Hitachi 1900U    ,     1.5,     12,  14.9 ,     50.6 ,  80.5   ,         5, mL/L/h
B03  , KLF2000            , Hitachi 1900U    ,     1.5,     18,  24.3 ,     82.3 ,  79.6   ,         5, mL/L/h
B03  , KLF2000            , Hitachi 1900U    ,     1.5,     24,  46.8 ,    124.6 ,  75.4   ,         8, mL/L/h
B03  , KLF2000            , Hitachi 1900U    ,     1.5,     30,  79.2 ,    178.5 ,  63.7   ,         8, mL/L/h
